"JURISDICTION","AGE_GROUP","Mean(Sum(FINES))","Mean(Sum(ARRESTS))","Mean(Sum(CHARGES))"
"NSW","0-16",4,0,19
"NT","0-16",2,4,11
"SA","0-16",3,6,2
"VIC","0-16",0,0,0
"WA","0-16",0,2,25
"ACT","17-25",0,11,165
"NSW","17-25",917,0,2132
"NT","17-25",37,89,291
"SA","17-25",324,46,455
"VIC","17-25",0,0,0
"WA","17-25",345,91,1965
"ACT","26-39",0,27,266
"NSW","26-39",1200,0,3647
"NT","26-39",92,217,568
"SA","26-39",401,88,1114
"VIC","26-39",0,0,0
"WA","26-39",732,206,3443
"ACT","40-64",0,16,194
"NSW","40-64",1305,0,3214
"NT","40-64",93,175,460
"SA","40-64",488,104,1119
"VIC","40-64",0,0,0
"WA","40-64",703,130,2682
"ACT","65 and over",0,1,19
"NSW","65 and over",205,0,352
"NT","65 and over",7,4,25
"SA","65 and over",117,5,161
"VIC","65 and over",0,0,0
"WA","65 and over",140,3,233
